"Name","Description","Email","Website","Instagram","Image_Source"
"Bangladesh Student Organization-UW Madison","This is the organization for the students in UW Madison to promote the culture of Bangladesh. We aim to strengthen the sense of community among the students of Bangladesh in UW-Madison, as well as promote Bangladeshi culture, history and heritage in Madison. Apart from that, we help new students in their transition to UW-Madison. Anyone affiliated with UW Madison can be a member of this organization.","sharmin@wisc.edu","https://uwmadison.campuslabs.com/engage/organization/bso-uwmadison/contact","No Instagram available","https://se-images.campuslabs.com/clink/images/782a5a44-c064-4d5b-bfa2-60bd1418625684eabf0b-ef81-488c-8d42-eff45093e554.png?preset=small-sq"
"BAPS Campus Fellowship","The purpose of the organization shall be to unite students on the UW-Madison campus and provide opportunities to learn about Hindu heritage and culture. It will introduce the Hindu faith to the rest of the UW-Madison community and will foster issues affecting Hindus through campus events. It provides opportunities to learn more about the Swaminarayan way of life and promotes valuable life skills and morals to help one succeed both in life and spiritually. BAPS Campus Fellowship or BCF is an organization approved by the Bochasanwasi Shri Akshar Purushottam Swaminarayan Sanstha, Inc., a leading denomination of the Hindu faith (hereinafter “BAPS”), and will represent itself in a way that is consistent with the guidelines set forth by BAPS.","dapatel7@wisc.edu","https://uwmadison.campuslabs.com/engage/organization/baps-fellowship/contact","No Instagram available","https://se-images.campuslabs.com/clink/images/37544fce-75cd-456f-b0a8-789c387ee258de91ab99-1e0f-4549-90ee-e57c32a6ba1f.png?preset=small-sq"
"Barbershop Quartet Club","Come sing casually on campus!
Barbershop is a style of music centered around a cappella four-part close harmony, with emphasis on traditional American show tunes, theatre, and jazz pieces. Our mission is to connect individuals who want to sing barbershop harmony together through a casual weekly chorus, casual quartet, or competitive quartet. We want to spread the joy of music across campus for all!
Come drop by our weekly chorus, no audition is required!
Want more information on barbershop harmony, the club, chorus, or barbershop quartets? Want to join a quartet? Send us an email at barbershopuw@office365.wisc.edu, or reach out to our chorus director Elias at emettner@wisc.edu.","barbershopuw@office365.wisc.edu","https://uwmadison.campuslabs.com/engage/organization/badgershop/contact","https://www.instagram.com/badgershopchorus","https://se-images.campuslabs.com/clink/images/75cbff81-c48e-417d-8def-029f874dc9c2bbac2287-d61e-4529-b9f0-13222f95e94c.jpg?preset=small-sq"
"Bees Please - UW","Bees Please is a University of Wisconsin-Madison student organization dedicated to supporting and educating on the local bee population. Through community engagement, fundraising, and educating participatory members and the community, Bees Please strives to create safe, bee-friendly spaces both on and off campus.","ahbraun@wisc.edu","https://uwmadison.campuslabs.com/engage/organization/beespleaseuw/contact","https://www.instagram.com/beespleaseuw/","https://se-images.campuslabs.com/clink/images/74ac49c0-2acb-461c-9871-ef6b461df846b9e44aab-9e29-467f-b279-b8ed602e24c3.png?preset=small-sq"
"Bellydancing UW","Belly Dancing UW was founded in the Spring of 2000 by Kerridwen Mangala and Leena in order to practice the choreographies and technique of their instructor, Mona N'wal. They were soon joined by Radhika, Amy, Yayuk, Courtney, Sabrina, and many other members, who helped create the organization as it stands today.

Belly Dancing UW provides instruction for beginning, intermediate, and advanced dancers. Each semester, our organization welcomes 20-30 regular attendees in the beginners' class, where an experienced club member covers basic technique, which is synthesized into a choreography. Intermediate classes build on this foundation with a greater focus on complete dance pieces, many of which are performed by the club at events on campus and around Madison.
There is no clothing or performance requirement for this club. That being said, there are multiple performance opportunities including a Spring Show organized by club members each spring. Those that want to get more involved are encouraged to at any skill level as the Spring Show highlights beginners, intermediate, and advanced club members.","bellydancinguw@gmail.com","https://bellydancinguw.wordpress.com/","No Instagram available","https://se-images.campuslabs.com/clink/images/62cba501-2955-4dc1-94d4-7f6762b11641af088369-48c3-4859-8a7d-22dd69c1a23c.png?preset=small-sq"
"Best Buddies UW-Madison Chapter","College students can join as Peer Buddies or Associate Members. Peer Buddies are matched 1:1 or placed in a Buddy Family. Associate Members and are not matched but still attend our monthly meetings and build relationships within the organization.","bestbuddiesmadison@gmail.com","https://uwmadison.campuslabs.com/engage/organization/bestbuddies/contact","https://www.instagram.com/bestbuddiesuwmadison/?igsh=eDVmejN0Mmo3d2gw","https://se-images.campuslabs.com/clink/images/c29d589d-fe63-4a15-8d2c-ab9e3964b263720529cc-c710-4d84-bc04-81688583b61f.png?preset=small-sq"
"Beta Alpha Psi - Sigma Chapter","Visit: http://www.madisonbap.org/ for our website and to learn more about how to join!
  Beta Alpha Psi was founded in 1919. Since, it was founded, 289 chapters on college and university campuses have been established. The chapter of Beta Alpha Psi at the University of Wisconsin-Madison (The Sigma Chapter) was founded in 1932. It is an honorary organization for both graduate and undergraduate accounting students. The primary objective of Beta Alpha Psi is to encourage and give recognition to scholastic and professional excellence in the accounting field. This includes promoting the study and practice of accounting; providing opportunities for self-development, service and association among members and practicing professionals, and encouraging a sense of ethical, social, and public responsibility. The Sigma Chapter of Beta Alpha Psi has several professional meetings, community service events, and social gatherings each semester.","beta.alpha.psi.board@gmail.com","https://uwmadison.campuslabs.com/engage/organization/bap/contact","https://www.instagram.com/bap.uwmadison/","https://se-images.campuslabs.com/clink/images/732122b8-e42b-439f-935b-5a267dfefa985bd784d9-e0f1-4b86-8305-fecc00c2315a.jpg?preset=small-sq"
"Beta Theta Pi Fraternity-Alpha Pi Chapter","Beta’s Men of Principle initiative is not a localized idea; rather it is a message that transcends cultures and can resonate on every campus. The message is simple: times change, principles do not. Entrepreneurial in spirit and ambitious at heart, we are recruiting men who believe in the mission of the organization. It is our goal to align our fraternity with the founding ideals set forth by our eight brothers in 1839. Beta’s recent success, coupled with 175 years of tradition, leadership, and commitment to excellence, has proven to be what college men today are looking for in a fraternity.","shimelman@wisc.edu","https://uwmadison.campuslabs.com/engage/organization/betathetapi/contact","https://www.instagram.com/beta_wisconsin/","https://se-images.campuslabs.com/clink/images/880f321d-3ce3-4231-9961-395a4dfe2b5caa63feac-449a-4ce8-bc8c-4bbd895ae33b.jpg?preset=small-sq"
"Big Brothers Big Sisters at the University of Wisconsin","","bigbrothersbigsistersuw@gmail.com","https://uwmadison.campuslabs.com/engage/organization/bbbs-uw/contact","https://www.instagram.com/bigbrothersbigsistersuw/?igsh=cXg4c3d3b3VieTl2&utm_source=qr","https://se-images.campuslabs.com/clink/images/678422f1-f7d6-4ffe-9bd9-b823380ce03c9d360365-f2af-4619-9bd1-d5bfcf0635a7.JPEG?preset=small-sq"
"BioBiz Network, The","","smnigro@wisc.edu","https://uwmadison.campuslabs.com/engage/organization/biobiznetwork/contact","No Instagram available","https://se-images.campuslabs.com/clink/images/aeaec5b4-8306-4373-9d5f-acd228141611cf45b59a-7955-4ac2-a529-75de4475b34f.jpeg?preset=small-sq"
"Bioethics @ UW-Madison","Bioethics @ UW-Madison is a student led organization established in 2021 for students on campus to facilitate a space for discussion, debate, and exploration of ethical dilemmas. We integrate perspectives from multiple disciplines such as medicine, philosophy, and law to explore controversial social and ethical issues.","bioethicsatuw@gmail.com","https://uwmadison.campuslabs.com/engage/organization/bioethicsatuw/contact","No Instagram available","No image available"
"Biokind Analytics, University of Wisconsin-Madison Chapter","Our mission is to provide the opportunity for healthcare non-profit organizations to boost their impact. We can utilize data to answer questions about current programs, help lower costs and improve efficiency, or predict future needs. Our overarching goal is to support healthcare non-profit organizations through data science and help further their missions.","biokinduw@biokind.org","https://uwmadison.campuslabs.com/engage/organization/biokind_analytics_uw-madison/contact","No Instagram available","https://se-images.campuslabs.com/clink/images/3e10eead-4f68-4197-a083-2cadc629caad06ca55ae-1afe-404d-9639-c3cf2e12dd49.jpeg?preset=small-sq"
"Biological Systems Engineering Graduate Student Organization","BSE GSO aims to create a safe and inclusive community in the BSE department that connects grad students and postdocs academically and personally. We support diverse research, foster professional growth and promote collaboration and innovation.","mrobinson25@wisc.edu","https://uwmadison.campuslabs.com/engage/organization/bsegso/contact","No Instagram available","https://se-images.campuslabs.com/clink/images/1a1bbb9d-a40a-4adb-842f-363699bf5b05201c4cb7-38b2-4422-a7f8-90c7173e68a3.jpeg?preset=small-sq"
"Biomedical Engineering Society, UW-Madison Chapter","To meet the needs of its members, BMES provides opportunities for development in several major areas: academic, personal, professional, outreach and social.
General Meetings
To achieve the goal of professional development, BMES hosts bi-weekly lectures on a variety of topics by faculty, staff, graduate students, and representatives from industry. These topics include biomaterials, bioinstrumentation, biomechanics, medical imaging and biocomputing, and medicine. Speakers have also discussed intellectual property, entrepreneurship and scientific and engineering consulting as well as genetics, microbiology, biochemistry, cell biology and professional development.
Social Events
BMES is an excellent social outlet, and a great way for students to get to know each other in a relaxed and fun atmosphere. BMES social events help students make the connections and friendships which help them succeed academically and professionally. Social events include ice cream socials, football tailgates, ice skating, and the annual kick-off cookout.
Outreach
BMES encourages a high level of participation in volunteer activities. The organization seeks to improve the Madison community by donating time to local community outreach programs such as River Food Pantry and Red Cross.
CRUISE
CRUISE (Counseling and Resources for Undergraduates in Science and Engineering) is a program where upperclass BMES members become actively involved in mentoring underclassmen. CRUISE events include registration counseling, study nights, and career fair preparation workshops. The CRUISE program encourages underclassmen to succeed both as students and professionals.","versaggi@wisc.edu","https://uwmadison.campuslabs.com/engage/organization/bmes/contact","https://www.instagram.com/bmesuw/","https://se-images.campuslabs.com/clink/images/a960b542-01c3-4b80-bc2d-db7ad24e827d0a106dbf-f9e1-4b60-ac0f-6f591ca57b6f.png?preset=small-sq"
"Black and Brown in Physics","This organization is dedicated to the black and brown community within physics! This will provide a welcoming and safe space to talk about the black and brown struggles within physics, along with highlighting the amazing accomplishments done by black and brown physicist! The organization is also open to allies and those wishing to learn more about how physics is perceived from black and brown perspectives. 
We host general meetings, heritage-based events, and also invite black and brown speakers to provide talks to the organization and department!","abanes@wisc.edu","https://uwmadison.campuslabs.com/engage/organization/bbip/contact","No Instagram available","No image available"
"Black Law Students Association-UW Law School","In pursuit of that commitment, the purposes of the Black Law Student Association at the University of Wisconsin are:
articulate and promote professional competence
to focus upon the relationship between the Black attorney and the American legal structure
to instill in the Black attorney and Black law student a greater awareness of and commitment to the needs of the Black community
to influence American law schools, legal fraternities and associations to use their expertise and prestige to bring about change within the legal system in order to make it responsive to the needs of the Black community and to do any and all things necessary and lawful for the accomplishment of this purpose
to fulfill the obligations of the National Black Law Students Association for chapter membership as outlined in the NBLSA constitution (Art. III §2(A))","blsauwlaw@gmail.com","https://uwmadison.campuslabs.com/engage/organization/blsa/contact","https://www.instagram.com/blsauwlaw/","https://se-images.campuslabs.com/clink/images/18d4cff6-b30e-479c-9b39-a75c1f5859c1bffeb28c-e067-4395-9708-12f266a36faf.png?preset=small-sq"
"Black Men Collective of UW-Madison","Black men are an estimated 0.9% of the population on Campus, while the University does have avenues in place to provide for minority students, we feel as if the already small percentage of black men in higher education need a space to feel comfortable. We are dedicated to creating a space for black men. We strive to uplift the Black men here at UW, our approach will be catered towards hosting events that provide a welcoming environment for those who might struggle to find others like them on campus.","BMC.UWMadison@gmail.com","https://uwmadison.campuslabs.com/engage/organization/bmcofuw/contact","https://www.instagram.com/blkmencollective_uw/","https://se-images.campuslabs.com/clink/images/d6ceaf8c-6a43-4608-bd2e-8d45efd58261e1e89201-2212-48e1-a2d5-a9b586863cd0.JPG?preset=small-sq"
"Black Psychology Student Association of UW-Madison","The mission of the UW-Madison Black Psychology Student Association is to support students who are interested in psychology and pursue careers related to psychology in their academic, professional, and personal development. Our goal is to create a welcoming environment that encourages cultural awareness, intellectual growth, and support for Black community mental health issues. By means of mentoring, networking, educational events, and community engagement, our mission is to enable our members to achieve academic success and make significant contributions to the psychology field.
The purpose of the UW-Madison Black Psychology Student Association is as follows:
Promoting research and knowledge to deepen understanding of the psychological impacts of race, gender, and identity on Black individuals and communities
Develop social, academic, and personal connections for Black students in the field of psychology and health-affiliate through general meetings, events, etc. 
Promote educational events and discussions that explore the intersections of psychology, social work, sociology, health, and other related fields in addressing the mental health needs of the Black community
Support members by facilitating spaces that bring connections with professionals in psychology and related fields, helping members pursue career advancing skills, research opportunities, and opportunities that align with their goals
Encouraging black students to pursue psychology related work and expanding the number of Black individuals in psychology related fields
Collaboration and partnership with other organizations to further promote mental health and psychological needs in the Black community","bpsauwmadison@gmail.com","https://uwmadison.campuslabs.com/engage/organization/bpsa/contact","https://www.instagram.com/bpsauw?utm_source=ig_web_button_share_sheet&igsh=ZDNlZDc0MzIxNw==","https://se-images.campuslabs.com/clink/images/70fa23d2-8de0-4fa2-a432-307e8dd3d346747586fb-471e-4138-9f85-747f369118dc.jpeg?preset=small-sq"
"Black Student Law Association","The Black Student Pre-Law Association is an organization that aims to prepare undergraduate Black students for law school and the legal field. The purpose of BSLA is to provide opportunities for students to gain the experiences necessary to be a well-rounded law school applicant. 
Membership Criteria and Requirements
$15 membership fee
Currently enrolled undergraduate student at UW-Madison","ndmcginnis@wisc.edu","https://uwmadison.campuslabs.com/engage/organization/blackprelawuw/contact","https://www.instagram.com/blackprelawuw/","https://se-images.campuslabs.com/clink/images/f9cbff8e-3b49-4d05-a8bf-90ac73720b631835a52f-5a54-48d4-987a-7e7f4d2fa428.png?preset=small-sq"
"Black Student Nursing Association","Purpose:
To cultivate a supportive and empowering community for Black students aspiring to pursue a
career in nursing. Through mentorship, academic support, and advocacy, our organization aims
to address the unique challenges and opportunities faced by Black individuals in the pre-nursing
journey. We strive to foster a space where members can network, share experiences, and access
resources that facilitate their academic and professional development. By promoting diversity,
inclusion, and excellence in nursing education, we endeavor to contribute to the creation of a
more equitable healthcare system and empower future generations of Black nursing
professionals.","bsnauwmadison@outlook.com","https://www.blackstudentnursingassociationofuw-madison.org/","No Instagram available","https://se-images.campuslabs.com/clink/images/0aad3443-2e35-4491-b83f-f8c8a8c3da292c61126a-f8cb-4644-a2d8-9353e3bef477.png?preset=small-sq"
"Black Voice, The","The Black Voice aims to offer a platform for the historically silenced voices of Black students to be heard on UW-Madison’s campus and beyond. It is an online safe space for Black and African diasporic students and affiliated communities.
Started in the 1960s, the Black Voice was created in coalition with the 1969 Black Student Strike Protests. The Black Voice offered students the space to tell their stories and report on events on campus, offering their perspective at a predominantly white institution.
The Black Voice offers a space of community, mentorship, and learning for all who choose to participate. We hope to foster the creativity, writing, and artistic skills of our members and those who participate in our programming.
We continuously educate ourselves and others on the stories and histories of Black students on and off campus. We seek to nurture and support all writers and creators working in pursuit of a more socially just and equitable society, working towards elevating the voices of all oppressed people.","whitelow@wisc.edu","https://blackvoicesuw.com/","No Instagram available","https://se-images.campuslabs.com/clink/images/c4a73e82-5d14-478e-9693-0700dda61744372166f8-3699-4d9c-a2f4-9db26e15f2bf.png?preset=small-sq"
"Blackhawk College Ministry","Blackhawk College Ministry is the College-Age Ministry of Blackhawk church and is a diverse family of generally 18-25 year olds, but with a spectrum of students pursuing undergraduate and graduate degrees. We together seek to build a loving community that follows Christ in order to reach a community with the same love we’ve been given so graciously. Wherever you are at in your faith journey, you’re welcome here!
  Blackhawk College Ministry meets on Tuesdays at 7 PM throughout the school year for relevant teaching, powerful worship, and an opportunity to connect with others. Blackhawk College Ministry also offers a variety of ways for students to learn and grow through small groups, trips, and fun events.
  Blackhawk College Ministry is a Registered Student Organization of the University of Wisconsin–Madison.","gmiller@blackhawkchurch.org","https://blackhawk.church/college/","No Instagram available","https://se-images.campuslabs.com/clink/images/842cd063-ae63-400b-89f9-2c1b3af05a29730f0455-39c7-4342-9294-89f0121f3674.jpg?preset=small-sq"
"BLK PWR Coalition","","chiefofficer@blkpwrcoalition.org","https://uwmadison.campuslabs.com/engage/organization/theblkpwrcoalition/contact","No Instagram available","No image available"
"Body Advocacy Movement","The Body Advocacy Movement's mission is to promote healthful lifestyles and body acceptance at UW-Madison and beyond! We facilitate small group discussions and activities that support a positive body image, body acceptance, and that promote body advocacy in the community. Members will learn about the origins and negative consequences of our society’s beauty ideal, how to challenge their own personal body image concerns, and how to respond to others who encourage conformity with harmful beauty standards.","bam.wisconsin.madison@gmail.com","https://bamwisconsinmadiso.wixsite.com/mysite","No Instagram available","https://se-images.campuslabs.com/clink/images/3508c9d2-defb-4a30-b89e-662777f7bac3336cfc50-4c45-4934-8a2f-979015bfb8da.png?preset=small-sq"
"Botanical Society","A community of undergraduate and graduate students who enjoy engaging with plants and nature. Excursions may include prairie burnings, greenhouse tours, outdoor events, gardening/ house plant activities, guest lectures, plant growing and fundraising. Come socialize with fellow students and neighbors!","setaylor8@wisc.edu","https://uwmadison.campuslabs.com/engage/organization/botantyclub/contact","https://www.instagram.com/botanyclub_uw_madison/?igsh=cDNpd3VkaWhoYmgw&utm_source=qr","https://se-images.campuslabs.com/clink/images/22a4a685-fa6b-45a1-bb56-84f88bab905c1037d6af-5776-483c-abfb-d1702ff0fe5a.gif?preset=small-sq"
"Brain Exercise Initiative at The University of Wisconsin Madison","The Brain Exercise Initiative is a student-run 501(c)(3) non-profit organization that uses math, reading and writing as a form of cognitive development for the elderly. It is found that simple math exercises and reading aloud for just 30 minutes a day, 5 days a week can have a positive impact on memory for those with Alzheimer's. This is currently being done extensively in Japan. It was discovered by Japanese neuroscientist, Dr. Ryuta Kawashima, and consists of math exercises and reading aloud of short stories. Done for just 30 minutes a day, 5 times a week, improvements in Alzheimer’s patients have been observed. 
Many individuals showed improvements in communication and behavior. Some went from being bedridden to sitting in a chair or walking. Some showed improvement in controlling their bowel movement. Additionally, they began to feel happier.","beiwisco@gmail.com","https://uwmadison.campuslabs.com/engage/organization/beiwisco/contact","https://www.instagram.com/bei_wisco/","https://se-images.campuslabs.com/clink/images/bf69bcbd-9493-42b6-a5e5-e7be9c5c817c2ff63dc8-0c16-4927-8595-b01176d7a22f.png?preset=small-sq"
"Breast Cancer Awareness Association","","jklein35@wisc.edu","https://sites.google.com/wisc.edu/bcaa/home","No Instagram available","No image available"
"Bridge Club (UW-Madison)","Anyone interested in learning and playing contract bridge is welcome!","zfan64@wisc.edu","https://uwmadison.campuslabs.com/engage/organization/bridge-club/contact","No Instagram available","No image available"
"BridgeMadison","BridgeUSA is a multi-partisan student movement that champions viewpoint diversity, responsible
discourse, and a solution-oriented political culture. We are developing a generation of leaders
that value empathy and constructive engagement because our generation will bear the cost of
polarization and tribalism for years to come.
We believe that polarization is damaging our country and causing young people to either
disengage from democracy or radically engage by fitting a partisan mold. Democracy is in
danger if the next generation is disengaged and polarized because young people are the future
of our country.
The purpose of BridgeUSA is to build a BridgeUSA community — one in which students from
across the ideological spectrum can engage as a group working together to understand — to
bridge — the various perspectives behind the important political and social issues of our time.
We rise above party. We do not force unity or compromise. We believe in the BridgeUSA Mindset:
Viewpoint diversity, constructive engagement, and a solution-oriented political culture.","garciadove@wisc.edu","https://uwmadison.campuslabs.com/engage/organization/bridgemadison/contact","No Instagram available","No image available"
"Bridges International at Madison","Bridges International is a student organization that engages with international students through providing service activities, social networking, spiritual conversations, and student leadership development.","leontinoco@wisc.edu","https://www.bridgesinternational.com/madison/","No Instagram available","https://se-images.campuslabs.com/clink/images/f61ed6fe-f258-4784-ad78-45c28811c72d519e7fc1-f462-48f6-a200-988ed6c507d1.png?preset=small-sq"
"Bucky Noh Dhol","Bucky Noh Dhol (BND) is an Raas and Garba dance competition hosted by the students of the University of Wisconsin-Madison. We host 8 talented raas and garba teams from all over the U.S!","buckynohdhol@gmail.com","https://uwmadison.campuslabs.com/engage/organization/buckynohdhol/contact","https://www.instagram.com/buckynohdhol/","https://se-images.campuslabs.com/clink/images/ee693b6c-cca8-43bf-9229-5fca88ed1d7d7468350a-4a2e-443a-9d79-186b28374a95.png?preset=small-sq"
"Bucky Pre-Health Volunteering Association","To provide UW-Madison students with volunteering opportunities around Madison and other communities. BVA is an organization dedicated to bridging students who have interests in pursuing a career in the health field.","dawiedczyk@wisc.edu","https://uwmadison.campuslabs.com/engage/organization/bva/contact","https://www.instagram.com/bva.uw/","https://se-images.campuslabs.com/clink/images/a0ae2d33-69a1-4584-b980-31ef404c1ff6779cf3c2-a21b-4e22-ac95-0d42049c7f06.jpg?preset=small-sq"
"Bucky Raas Liaison","","riyachoud24@gmail.com","https://uwmadison.campuslabs.com/engage/organization/wbrl/contact","No Instagram available","No image available"
"Bundle Up","To join our group and find out about meetings, follow us on social media or contact us via email!
The primary goal of this organization is to provide homeless individuals of the Madison community with cold-weather items and personal hygiene products. We aim accomplish this goal via a 3 step process:
1. Collection: Gently used clothing items and new, sealed hygiene products are collected in bins located throughout the Madison area
2. Distribution: Items are washed and distributed either directly to individuals in need or given to community partners to share as they see fit
3. Reinvestment: Funds raised are utilized to purchase additional items based on need and community demand.","bundleupmadison@gmail.com","https://uwmadison.campuslabs.com/engage/organization/bundleup/contact","https://www.instagram.com/bundleupmadison/","https://se-images.campuslabs.com/clink/images/bd804800-63b0-4fe0-9fc7-6387dbca4b28204ecaaf-71da-4a71-8457-40c45f1817e8.PNG?preset=small-sq"
"Business and Tax Law Association","BATLaw (Business and Tax Law Association) is the UW Law School student organization dedicated to providing information and support to law students who contemplate or merely wish to know more about business law and/or business law careers. Whether your interest is in private practice or government service, whether in or out of Wisconsin, whether in large cities or smaller communities, whether in large firms or smaller firms or in-house legal positions or in government agencies, BATLAW can help!

Although as many as two-thirds of the Law School’s graduates will wind up practicing some sort of  business law, broadly defined, most students enter law school with little knowledge of what business law is actually like.  We do our best to provide practical information and programs about business law and business law careers that can help students make informed choices about their careers and, for those who are contemplating careers in business law, their preparation for such careers. 

Involvement in BATLaw helps students gain a superior understanding of the legal market, make better-informed career decisions, and approach interviews with a better ability to articulate their interests and goals.","batlaw.uw@gmail.com","https://uwmadison.campuslabs.com/engage/organization/batlaw/contact","No Instagram available","No image available"
"Business Badgers and Beyond","Business, Badgers, and Beyond is the only business school organization that focuses primarily on volunteerism. Bx3 hosts numerous volunteering opportunities for members to support and give back to the Madison community. Additionally, Bx3 hosts speaker events throughout the year where companies talk to members about the importance of volunteerism in the business world and the best business practices for students and young professionals.
Bx3 is open to all students of any major. It is a great organization for pre-business students to meet other business students or for students already in the WSB to meet business badgers of a different major. Ultimately, Bx3 strives to give back to the Madison community while supporting the academics, professional development, and network of its members.
Please send your name and email to businessbx3@gmail.com if interested.
Benefits
-Meet new students within and outside of the business school
-Give back to the community
-Develop professional skills","businessbx3@gmail.com","https://uwmadison.campuslabs.com/engage/organization/bx3/contact","https://www.instagram.com/wisconsinbx3/","https://se-images.campuslabs.com/clink/images/0a7b4d8c-b66f-4862-9af6-9d88ccf93fd2bc5e1a1f-182a-4b3a-98bc-03834a653596.jpg?preset=small-sq"
"Business in Medicine","An organization looking at exploring all aspects of business as it relates to medicine and the healthcare field as a whole.","jboswell2@wisc.edu","https://uwmadison.campuslabs.com/engage/organization/bim/contact","No Instagram available","No image available"
"CALS Health and Research Society","CHARS is a great resource for anyone interested in pursuing a career in a field related to research and/or healthcare. Our meetings and events provide undergraduates with an opportunity to meet and network with other students as well as supplement their academic in-class experiences with volunteer work, pre-professional development and career exploration.
As a member of CHARS, you will have a chance to network with staff, student leaders, and experienced researchers within the College of Agriculture and Life Sciences as well as within other parts of the university community. You will also have a chance to talk with medical and graduate students and discuss the application processes and life in professional school. We also provide mentoring and information for those students considering pursuing an Honors in Research degree through CALS.","charsociety@gmail.com","https://uwmadison.campuslabs.com/engage/organization/chars/contact","https://instagram.com/wisconsinchars","https://se-images.campuslabs.com/clink/images/14bb23d4-4d3e-4b2c-8557-9de4db2cc14631b98ef1-a2bc-4465-bd2a-22ea50322c2d.jpg?preset=small-sq"
"Campus Craft Club","Campus Craft Club is an organization that brings people together through the shared interest of doing crafts. We aim to create a stress free zone where students can relax by doing provided crafts or bringing projects they are working on. We define a craft as an activity that involves making an object by hand. This can range from making a scrapbook to crocheting a scarf. Just people who like crafts coming together and doing crafts.","akilty@wisc.edu","https://uwmadison.campuslabs.com/engage/organization/ccclub/contact","https://www.instagram.com/badgersgettingcrafty/","https://se-images.campuslabs.com/clink/images/6d64c92c-ee9d-466d-98cb-99afbde1df76f87ebba0-23c9-4845-86fb-47fec84820c8.jpeg?preset=small-sq"
"Campus Cursive","Campus Cursive is a college chapter of the global organization, The World Needs More Love Letters. The organization was founded with the mission to lift, empower, and mobilize individuals through tangible acts of love.
Our goal is to spread love and encouragement - one letter and one person at a time.
Here at Campus Cursive (UW-Madison), we are facilitating a community of letter writers and encouragers who are looking to love each other and the Madison community as a whole. Our vision? Getting as many people as possible to look for ways to uplift and encourage neighbors and strangers by writing handwritten love letters to inspire some smiles. 
We welcome all students, faculty, and employees of UW-Madison who are looking to better our Badger community or perhaps are looking for some encouragement themselves!","ejswanson2@wisc.edu","https://uwmadison.campuslabs.com/engage/organization/campuscursiveuwmadison/contact","https://www.instagram.com/cc_uwmadison/","https://se-images.campuslabs.com/clink/images/57490fed-be75-4b2d-8e41-796f4a10fb91b9358ef4-4206-4c02-86ca-eb22d5d60e5a.png?preset=small-sq"
"Campus Leaders for Energy Action Now","From the beginning of this university, students have used their voices to change the institution into what it is today. Students have the power to make a positive impact on campus, and we need your help to make the next big difference: 100% clean energy. The use of nonrenewable energy has a negative effect on fellow students, many live in communities where their health is at risk because of the effects of energies like coal. We want you to join our fight to make sure that UW-Madison is having a positive impact across Wisconsin communities and the world. 
CLEAN is comprised of a group of passionate and dedicated students, all from different backgrounds and majors on campus. We hold weekly meetings, events throughout the semester, as well as petitioning days and activities like game nights and lakeshore cleanups. We would love to put your talents to work, whether that be designing a poster for an event, writing letters to the editor, conducting research about student interest in our mission, or meeting with university stakeholders on clean energy. Please email us at cleanuwmadison@gmail.com with any questions!
FALL 2024 MEETING TIME
Every Monday 5:30-6:30pm at Union South
Calendar: https://calendar.google.com/calendar/u/0?cid=Y2xlYW51d21hZGlzb25AZ21haWwuY29t","cleanuwmadison@gmail.com","https://cleanuwmadison.weebly.com/","No Instagram available","https://se-images.campuslabs.com/clink/images/610f38a6-40de-4c66-90f0-652714b04a6df08c3c39-73f4-4d6e-ab3a-9ef38d802619.png?preset=small-sq"
"Campus Ministry International - Badger Chapter","The purpose of Campus Ministry International – Badger Chapter is to provide a resource for soul education and to strive to bring a spiritual, social, and physical balance to a student’s life. College life can be extremely stressful and hopeless at times, and we seek to help students not only get through it, but to grow through it as well.  At the same time it seeks to provide a positive, Christian fellowship for students and participating alumni. There are many opportunities for students to get involved.  Weekly on-campus meetings and get-togethers consist of Bible Studies, discussions, game nights, outreach opportunities, and on-and-off-campus recreation.  Bible Studies and discussions are meant to bring a stronger understanding and application to each student to positively impact their lives. Activities off-campus include bonfires, football, picnics, other recreational activities, and small get-togethers. Attendance is open to all interested in learning more from the Bible about life, and are encouraged to attend events. We are a fun, loving group of college students that enjoy hanging out and growing. On campus we have weekly get-togethers which are either a casual Bible study, outreach to students/homeless or super fun games/activities. One-on-one Bible studies and rides to local church are available upon request.","ahuman@wisc.edu","https://uwmadison.campuslabs.com/engage/organization/cmibadgers/contact","https://www.instagram.com/cmibadgers/?hl=en","https://se-images.campuslabs.com/clink/images/d596f79b-af3b-4b9e-a578-49b4a0dc20b445c82331-e84c-421b-bf35-131533bb6c1a.png?preset=small-sq"
"Capital Management Club","Capital Management Club (CMC) is a business school organization focused on educating members about the investment industry. We help club members learn about the challenges of investing in stocks by first going through our 5 week training program where members will be taught the basic process of researching and selecting potential successful investments. Members are then able to create a presentation or ""pitch"" which they will present to the club. Club members then vote on the idea pitched, and if more than 60% of members agree with the thesis presented, the club will take a position in that stock in our $245,000 real-money portfolio. In addition, we provide a number of networking opportunities with investment industry professionals through multiple guest speakers as well as trips to employer firms. Our ultimate goal is to help prepare members interested in obtaining internships and full-time jobs in the investment industry to interview more successfully for those opportunities and be standout candidates.","scallaway@wisc.edu","https://uwmadison.campuslabs.com/engage/organization/capitalmanagementclub/contact","https://www.instagram.com/cmc_uw/","https://se-images.campuslabs.com/clink/images/d382c59e-ab17-47e3-8214-bf45d3a5cae4aad35302-5939-4f23-a8c2-f41427c33879.jpg?preset=small-sq"
